Rank,Keyword,Monthly Vol,CPC,Score,Competitor Sources,Example Competitor URL,Build Slug
1,"tax tips for uber lyft and other car sharing drivers",0,0,0,1,"https://www.paycheckcity.com/insights/tax-tips-for-uber-lyft-and-other-car-sharing-drivers","/tax-tips-for-uber-lyft-and-other-car-sharing-drivers"
2,"five ways to spread the national payroll week survey message",0,0,0,1,"https://www.paycheckcity.com/insights/five-ways-to-spread-the-national-payroll-week-survey-message","/five-ways-to-spread-the-national-payroll-week-survey-message"
3,"be a winner this npw with your input on payroll",0,0,0,1,"https://www.paycheckcity.com/insights/be-a-winner-this-npw-with-your-input-on-payroll","/be-a-winner-this-npw-with-your-input-on-payroll"
4,"what is new with state tax in california for 2016",0,0,0,1,"https://www.paycheckcity.com/insights/what-is-new-with-state-tax-in-california-for-2016","/what-is-new-with-state-tax-in-california-for-2016"
5,"get all your 2016 new hampshire state tax info here",0,0,0,1,"https://www.paycheckcity.com/insights/get-all-your-2016-new-hampshire-state-tax-info-here","/get-all-your-2016-new-hampshire-state-tax-info-here"
6,"some facts on the jock tax looming over game 7",0,0,0,1,"https://www.paycheckcity.com/insights/some-facts-on-the-jock-tax-looming-over-game-7","/some-facts-on-the-jock-tax-looming-over-game-7"
7,"how much of my social security benefit may be taxed",0,0.33,0,1,"http://www.calcxml.com/calculators/how-much-of-my-social-security-benefit-may-be-taxed","/how-much-of-my-social-security-benefit-may-be-taxed"
8,"role affect and social norms preferences guaranteed income streams retirement",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2020/role-affect-and-social-norms-preferences-guaranteed-income-streams-retirement","/role-affect-and-social-norms-preferences-guaranteed-income-streams-retirement"
9,"trends retirement and retirement income choices tiaa participants 2000 2018",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2021/trends-retirement-and-retirement-income-choices-tiaa-participants-2000-2018","/trends-retirement-and-retirement-income-choices-tiaa-participants-2000-2018"
10,"an unrecognized barrier to retirement income security poor longevity literacy",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2023/an-unrecognized-barrier-to-retirement-income-security-poor-longevity-literacy","/an-unrecognized-barrier-to-retirement-income-security-poor-longevity-literacy"
11,"tiaa institute report most people share similar plans for retire",0,0,0,1,"https://www.tiaa.org/public/institute/about/news/tiaa-institute-report-most-people-share-similar-plans-for-retire","/tiaa-institute-report-most-people-share-similar-plans-for-retire"
12,"tiaa weatlh management 2025 year end tax planning guide video",0,0,0,1,"https://www.tiaa.org/public/video/tiaa-weatlh-management-2025-year-end-tax-planning-guide-video","/tiaa-weatlh-management-2025-year-end-tax-planning-guide-video"
13,"how to get the most out of your retirement income",0,0,0,1,"https://www.tiaa.org/public/transitioners/how-to-get-the-most-out-of-your-retirement-income","/how-to-get-the-most-out-of-your-retirement-income"
14,"what happens to your 401k when you leave a job",0,3.56,0,1,"https://www.fidelity.com/learning-center/smart-money/what-happens-to-your-401k-when-you-leave-a-job","/what-happens-to-your-401k-when-you-leave-a-job"
15,"should you roll over 401k to ira while still working",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/retirement/should-you-roll-over-401k-to-ira-while-still-working","/should-you-roll-over-401k-to-ira-while-still-working"
16,"keep your eyes out for this payroll tax scam",0,0,0,1,"https://www.paycheckcity.com/insights/keep-your-eyes-out-for-this-payroll-tax-scam","/keep-your-eyes-out-for-this-payroll-tax-scam"
17,"what to do if you missed the tax deadline",0,0,0,1,"https://www.paycheckcity.com/insights/what-to-do-if-you-missed-the-tax-deadline","/what-to-do-if-you-missed-the-tax-deadline"
18,"what is the difference between gross and net income",0,0.21,0,1,"https://www.paycheckcity.com/insights/what-is-the-difference-between-gross-and-net-income","/what-is-the-difference-between-gross-and-net-income"
19,"president joe biden announced a paid leave tax credit",0,0,0,1,"https://www.paycheckcity.com/insights/president-joe-biden-announced-a-paid-leave-tax-credit","/president-joe-biden-announced-a-paid-leave-tax-credit"
20,"five easy ways to participate in national payroll week",0,0,0,1,"https://www.paycheckcity.com/insights/five-easy-ways-to-participate-in-national-payroll-week","/five-easy-ways-to-participate-in-national-payroll-week"
21,"say hello to higher personal income tax in illinois",0,0,0,1,"https://www.paycheckcity.com/insights/say-hello-to-higher-personal-income-tax-in-illinois","/say-hello-to-higher-personal-income-tax-in-illinois"
22,"2017 social security changes what you need to know",0,0,0,1,"https://www.paycheckcity.com/insights/2017-social-security-changes-what-you-need-to-know","/2017-social-security-changes-what-you-need-to-know"
23,"what do top elected officials make in annual salary",0,0,0,1,"https://www.paycheckcity.com/insights/what-do-top-elected-officials-make-in-annual-salary","/what-do-top-elected-officials-make-in-annual-salary"
24,"state tax rules and more for georgia in 2016",0,0,0,1,"https://www.paycheckcity.com/insights/state-tax-rules-and-more-for-georgia-in-2016","/state-tax-rules-and-more-for-georgia-in-2016"
25,"5 year end tax planning strategies to consider now",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/5-year-end-tax-planning-strategies-to-consider-now","/5-year-end-tax-planning-strategies-to-consider-now"
26,"how much income in retirement fear of running out",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/how-much-income-in-retirement-fear-of-running-out","/how-much-income-in-retirement-fear-of-running-out"
27,"new report highlights link between retirement fluency and retire",0,0,0,1,"https://www.tiaa.org/public/institute/about/news/new-report-highlights-link-between-retirement-fluency-and-retire","/new-report-highlights-link-between-retirement-fluency-and-retire"
28,"if you get turned down for a home loan",0,0,0,1,"https://www.wellsfargo.com/mortgage/learn/if-you-get-turned-down-for-a-home-loan/","/if-you-get-turned-down-for-a-home-loan"
29,"what do you need to apply for a mortgage",0,5.38,0,1,"https://www.fidelity.com/learning-center/life-events/what-do-you-need-to-apply-for-a-mortgage","/what-do-you-need-to-apply-for-a-mortgage"
30,"can you have a roth ira and a 401k",0,3.32,0,1,"https://www.fidelity.com/learning-center/smart-money/can-you-have-a-roth-ira-and-a-401k","/can-you-have-a-roth-ira-and-a-401k"
31,"protecting your earned income with disability and life insurance",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/insurance-health/protecting-your-earned-income-with-disability-and-life-insurance","/protecting-your-earned-income-with-disability-and-life-insurance"
32,"one big beautiful bill small business changes tax obbba",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/personal-finance/one-big-beautiful-bill-small-business-changes-tax-obbba","/one-big-beautiful-bill-small-business-changes-tax-obbba"
33,"resident vs nonresident in the context of payroll",0,0,0,1,"https://www.paycheckcity.com/insights/resident-vs-nonresident-in-the-context-of-payroll","/resident-vs-nonresident-in-the-context-of-payroll"
34,"28 quotes to laugh at during tax season",0,0,0,1,"https://www.paycheckcity.com/insights/28-quotes-to-laugh-at-during-tax-season","/28-quotes-to-laugh-at-during-tax-season"
35,"the tax treatment mystery of frequent flier miles",0,0,0,1,"https://www.paycheckcity.com/insights/the-tax-treatment-mystery-of-frequent-flier-miles","/the-tax-treatment-mystery-of-frequent-flier-miles"
36,"watch out for these type of tax scams",0,0,0,1,"https://www.paycheckcity.com/insights/watch-out-for-these-type-of-tax-scams","/watch-out-for-these-type-of-tax-scams"
37,"2017 tax changes go live on paycheckcity calculators",0,0,0,1,"https://www.paycheckcity.com/insights/2017-tax-changes-go-live-on-paycheckcity-calculators","/2017-tax-changes-go-live-on-paycheckcity-calculators"
38,"what are the tax advantages of an annuity",0,0,0,1,"http://www.calcxml.com/calculators/what-are-the-tax-advantages-of-an-annuity","/what-are-the-tax-advantages-of-an-annuity"
39,"how much retirement income may an ira provide",0,0,0,1,"http://www.calcxml.com/calculators/how-much-retirement-income-may-an-ira-provide","/how-much-retirement-income-may-an-ira-provide"
40,"why investors should be thinking about lifetime income",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/why-investors-should-be-thinking-about-lifetime-income","/why-investors-should-be-thinking-about-lifetime-income"
41,"retirement social security deferral and life annuity demand",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2024/retirement-social-security-deferral-and-life-annuity-demand","/retirement-social-security-deferral-and-life-annuity-demand"
42,"making retirement work reducing barriers guaranteed lifetime income",0,0,0,1,"https://www.tiaa.org/public/institute/about/events/making-retirement-work-reducing-barriers-guaranteed-lifetime-income","/making-retirement-work-reducing-barriers-guaranteed-lifetime-income"
43,"savings growth and lifetime income in retirement guaranteed",0,0,0,1,"https://www.tiaa.org/public/modal/savings-growth-and-lifetime-income-in-retirement-guaranteed","/savings-growth-and-lifetime-income-in-retirement-guaranteed"
44,"five big questions and answers about social security",0,0,0,1,"https://www.tiaa.org/public/transitioners/five-big-questions-and-answers-about-social-security","/five-big-questions-and-answers-about-social-security"
45,"529 to roth ira rollover rules college savings",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/529-to-roth-ira-rollover-rules-college-savings","/529-to-roth-ira-rollover-rules-college-savings"
46,"should you pay off your mortgage in retirement",0,1.75,0,1,"https://www.tiaa.org/public/learn/life-milestones/should-you-pay-off-your-mortgage-in-retirement","/should-you-pay-off-your-mortgage-in-retirement"
47,"seven tips for managing your student loan debt",0,0,0,1,"https://www.tiaa.org/public/learn/retirement-planning-and-beyond/managing-your-money/seven-tips-for-managing-your-student-loan-debt","/seven-tips-for-managing-your-student-loan-debt"
48,"how to get out of student loan debt",0,14.84,0,1,"https://www.fidelity.com/learning-center/life-events/how-to-get-out-of-student-loan-debt","/how-to-get-out-of-student-loan-debt"
49,"trump accounts vs 529 utma ugma roth ira",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/trump-accounts-vs-529-utma-ugma-roth-ira","/trump-accounts-vs-529-utma-ugma-roth-ira"
50,"how much should i contribute to my 401k",0,1.61,0,1,"https://www.fidelity.com/learning-center/smart-money/how-much-should-i-contribute-to-my-401k","/how-much-should-i-contribute-to-my-401k"
51,"you ask we answer ira hsa retirement accounts",0,0,0,1,"https://www.fidelity.com/learning-center/women-talk-money/you-ask-we-answer-ira-hsa-retirement-accounts","/you-ask-we-answer-ira-hsa-retirement-accounts"
52,"roth ira strategies high income earners backdoor roth",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/retirement/roth-ira-strategies-high-income-earners-backdoor-roth","/roth-ira-strategies-high-income-earners-backdoor-roth"
53,"use your tax refund for your financial goals",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/taxes/use-your-tax-refund-for-your-financial-goals","/use-your-tax-refund-for-your-financial-goals"
54,"how to reduce taxable income",0,3.53,0,2,"https://www.tiaa.org/public/learn/personal-finance-101/how-to-reduce-taxable-income","/how-to-reduce-taxable-income"
55,"the top 5 most tax friendly states",0,0,0,1,"https://www.paycheckcity.com/insights/the-top-5-most-tax-friendly-states","/the-top-5-most-tax-friendly-states"
56,"irs tax relief for california wildfire victims",0,0,0,1,"https://www.paycheckcity.com/insights/irs-tax-relief-for-california-wildfire-victims","/irs-tax-relief-for-california-wildfire-victims"
57,"the seven states with no income tax",0,0,0,1,"https://www.paycheckcity.com/insights/the-seven-states-with-no-income-tax","/the-seven-states-with-no-income-tax"
58,"2016 maine state tax info is here",0,0,0,1,"https://www.paycheckcity.com/insights/2016-maine-state-tax-info-is-here","/2016-maine-state-tax-info-is-here"
59,"what is my potential estate tax liability",0,0,0,1,"http://www.calcxml.com/calculators/what-is-my-potential-estate-tax-liability","/what-is-my-potential-estate-tax-liability"
60,"how much disability income do i need",0,0,0,1,"http://www.calcxml.com/calculators/how-much-disability-income-do-i-need","/how-much-disability-income-do-i-need"
61,"monthly market roundup obbba legislation tax impact",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/monthly-market-roundup-obbba-legislation-tax-impact","/monthly-market-roundup-obbba-legislation-tax-impact"
62,"how to retire millionaire compound growth strategy",0,0,0,1,"https://www.tiaa.org/public/learn/financial-essentials/how-to-retire-millionaire-compound-growth-strategy","/how-to-retire-millionaire-compound-growth-strategy"
63,"lifetime financial security with guaranteed retirement income",0,0,0,1,"https://www.tiaa.org/public/plansponsors/insights/tmrw/edition-2/lifetime-financial-security-with-guaranteed-retirement-income","/lifetime-financial-security-with-guaranteed-retirement-income"
64,"retire or not examining life after end",0,0,0,1,"https://www.tiaa.org/public/institute/publication/1999/retire-or-not-examining-life-after-end","/retire-or-not-examining-life-after-end"
65,"social security experts discuss funding issues and",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2005/social-security-experts-discuss-funding-issues-and","/social-security-experts-discuss-funding-issues-and"
66,"want to know when you can retire",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2023/want-to-know-when-you-can-retire","/want-to-know-when-you-can-retire"
67,"social security everything you need to know",0,0,0,1,"https://www.tiaa.org/public/transitioners/social-security-everything-you-need-to-know","/social-security-everything-you-need-to-know"
